X1 cel rozszerzone
-0.20401337792642138 -21.65449680536371 -17.604221665620614
-0.19732441471571904 -21.63038927347711 -17.565187376034842
-0.1906354515050167 -21.606546603614042 -17.527042594930215
-0.18394648829431437 -21.582959817400827 -17.489787287465656
-0.17725752508361203 -21.55961993646379 -17.453420384619164
-0.1705685618729097 -21.53651798242925 -17.417939780050194
-0.16387959866220736 -21.513644976923523 -17.383342328512484
-0.15719063545150502 -21.490991941572933 -17.34962384583038
-0.1505016722408027 -21.468549898003804 -17.31677911044855
-0.14381270903010035 -21.446309867842455 -17.284801866562034
-0.137123745819398 -21.424262872715204 -17.25368482883031
-0.13043478260869568 -21.402399934248376 -17.22341968867616
-0.12374581939799334 -21.380712074068292 -17.193997122166646
-0.117056856187291 -21.359190313801268 -17.16540679947074
-0.11036789297658867 -21.33782567507363 -17.137637395884507
-0.10367892976588633 -21.316609179511694 -17.110676604412035
-0.09698996655518399 -21.29553184874179 -17.084511149886765
-0.09030100334448166 -21.274584704390225 -17.05912680461504
-0.08361204013377932 -21.253758768083333 -17.034508405520263
-0.07692307692307698 -21.233045061447427 -17.01063987276333
-0.07023411371237465 -21.212434606108832 -16.987504229811638
-0.06354515050167231 -21.19191842369387 -16.96508362492616
-0.05685618729096986 -21.171487535828852 -16.943359354033184
-0.050167224080267525 -21.151132964140114 -16.922311884944296
-0.04347826086956519 -21.130845730253967 -16.90192088288552
-0.03678929765886285 -21.11061685579673 -16.88216523729378
-0.030100334448160515 -21.09043736239473 -16.86302308983623
-0.02341137123745818 -21.07029827167429 -16.84447186360551
-0.01672240802675584 -21.050190605261722 -16.826488293441457
-0.010033444816053505 -21.030105384783354 -16.80904845732759
-0.0033444816053511683 -21.010033631865504 -16.792127808808488
0.0033444816053511683 -20.989966368134496 -16.775701210371952
0.010033444816053505 -20.969894615216646 -16.759742967738077
0.01672240802675584 -20.949809394738278 -16.744226864995404
0.02341137123745818 -20.92970172832571 -16.729126200522614
0.030100334448160515 -20.90956263760527 -16.714413823632768
0.03678929765886285 -20.88938314420327 -16.700062171875633
0.04347826086956519 -20.869154269746033 -16.68604330893227
0.050167224080267525 -20.848867035859886 -16.672328963035106
0.05685618729096986 -20.828512464171144 -16.6588905658457
0.0635451505016722 -20.808081576306133 -16.64569929172137
0.07023411371237454 -20.787565393891168 -16.63272609730166
0.07692307692307687 -20.766954938552573 -16.61994176134458
0.08361204013377921 -20.746241231916667 -16.60731692474268
0.09030100334448155 -20.725415295609775 -16.594822130648478
0.09698996655518388 -20.70446815125821 -16.582427864639
0.10367892976588622 -20.683390820488306 -16.570104594849116
0.11036789297658856 -20.662174324926372 -16.557822812003845
0.11705685618729089 -20.640809686198732 -16.545553069279993
0.12374581939799323 -20.619287925931708 -16.533266021928416
0.13043478260869557 -20.597600065751624 -16.520932466588608
0.1371237458193979 -20.575737127284796 -16.50852338022849
0.14381270903010024 -20.553690132157545 -16.496009958643203
0.15050167224080258 -20.531450101996196 -16.48336365444782
0.1571906354515049 -20.509008058427067 -16.47055621450049
0.16387959866220725 -20.486355023076477 -16.457559716693638
0.17056856187290959 -20.463482017570755 -16.44434660605275
0.17725752508361192 -20.44038006353621 -16.430889730083884
0.18394648829431426 -20.417040182599173 -16.417162373312742
0.1906354515050166 -20.393453396385958 -16.40313829096046
0.19732441471571893 -20.36961072652289 -16.388791741702917
0.2040133779264215 -20.34550319463629 -16.374097519462914
0.21070234113712383 -20.321121822352477 -16.359030984186592
0.21739130434782616 -20.296457631297773 -16.343568091557938
0.2240802675585285 -20.271501643098496 -16.327685421607676
0.23076923076923084 -20.246244879380974 -16.31136020617535
0.23745819397993317 -20.220678361771522 -16.294570355185922
0.2441471571906355 -20.19479311189646 -16.27729448170512
0.25083612040133785 -20.168580151382113 -16.25951192574009
0.2575250836120402 -20.1420305018548 -16.241202776755138
0.2642140468227425 -20.115135184940844 -16.222347894874765
0.27090301003344486 -20.08788522226656 -16.20292893074923
0.2775919732441472 -20.060271635458275 -16.182928344060795
0.28428093645484953 -20.03228544614231 -16.162329420651524
0.29096989966555187 -20.00391767594498 -16.141116288256555
0.2976588628762542 -19.97515934649261 -16.119273930829642
0.30434782608695654 -19.94600147941152 -16.09678820145056
0.3110367892976589 -19.916435096328037 -16.073645833807088
0.3177257525083612 -19.886451218868473 -16.04983445224691
0.32441471571906355 -19.85604086865915 -16.02534258039778
0.3311036789297659 -19.825195067326394 -16.000159648357123
0.3377926421404682 -19.79390483649652 -15.974275998454942
0.34448160535117056 -19.762161197795855 -15.947682889596695
0.3511705685618729 -19.729955172850715 -15.920372500195597
0.35785953177257523 -19.697277783287422 -15.892337929706157
0.36454849498327757 -19.6641200507323 -15.86357319877369
0.3712374581939799 -19.63047299681167 -15.834073248016836
0.37792642140468224 -19.596327643151845 -15.80383393546252
0.3846153846153846 -19.561675011379155 -15.77285203265536
0.3913043478260869 -19.526506123119916 -15.74112521946553
0.39799331103678925 -19.49081200000045 -15.708652077621567
0.4046822742474916 -19.454583663647078 -15.675432082996425
0.41137123745819393 -19.41781213568612 -15.641465596677307
0.41806020066889626 -19.3804884377439 -15.606753854851592
0.4247491638795986 -19.34260359144674 -15.571298957543066
0.43143812709030094 -19.304148618420953 -15.535103856234207
0.4381270903010033 -19.265114540292863 -15.498172340412147
0.4448160535117056 -19.2254923786888 -15.460509023077078
0.45150501672240795 -19.185273155235073 -15.422119325253613
0.4581939799331103 -19.144447891558006 -15.383009459546559
0.4648829431438126 -19.103007609283924 -15.343186412783925
0.47157190635451496 -19.060943330039144 -15.3026579277909
0.4782608695652173 -19.018246075449987 -15.261432484339622
0.48494983277591963 -18.974906867142778 -15.21951927932015
0.49163879598662197 -18.930916726743835 -15.176928206178957
0.4983277591973243 -18.886266675879476 -15.133669833671746
0.5050167224080266 -18.840947736176027 -15.089755383977842
0.511705685618729 -18.794950929259805 -15.045196710223912
0.5183946488294313 -18.748267276757137 -15.000006273464786
0.5250836120401337 -18.700887800294336 -14.954197119169555
0.531772575250836 -18.652803521497724 -14.907782853260974
0.5384615384615383 -18.60400546199363 -14.860777617756181
0.5451505016722409 -18.554484643408365 -14.813196066056621
0.5518394648829432 -18.504232087368255 -14.765053337934738
0.5585284280936456 -18.45323881549962 -14.716365034264603
0.5652173913043479 -18.401495849428784 -14.667147191543297
0.5719063545150502 -18.34899421078206 -14.61741625624922
0.5785953177257526 -18.295724921185776 -14.567189059082857
0.5852842809364549 -18.241679002266252 -14.516482789134868
0.5919732441471572 -18.18684747564981 -14.465314968025528
0.5986622073578596 -18.131221362962766 -14.413703424058665
0.6053511705685619 -18.074791685831443 -14.361666266432245
0.6120401337792643 -18.017549465882162 -14.3092218595469
0.6187290969899666 -17.959485724741246 -14.256388797452324
0.6254180602006689 -17.90059148403501 -14.203185878470622
0.6321070234113713 -17.840857765389785 -14.149632080034248
0.6387959866220736 -17.78027559043188 -14.095746533775083
0.6454849498327759 -17.718835980787627 -14.041548500899792
0.6521739130434783 -17.65652995808334 -13.987057347885301
0.6588628762541806 -17.593348543945343 -13.932292522526824
0.6655518394648829 -17.529282759999955 -13.877273530369523
0.6722408026755853 -17.464323627873497 -13.82201991155333
0.6789297658862876 -17.39846216919229 -13.766551218098963
0.68561872909699 -17.331689405582654 -13.71088699166194
0.6923076923076923 -17.263996358670916 -13.655046741779412
0.6989966555183946 -17.195374050083387 -13.599049924633558
0.705685618729097 -17.125813501446398 -13.54291592235349
0.7123745819397993 -17.055305734386263 -13.486664022876056
