X1 cel rozszerzone
-3.6454849498327766 -274.1709191673652 -308.7532676153354
-3.5785953177257532 -260.8794073480284 -294.44292202097824
-3.511705685618729 -248.0682385205226 -280.62423405808335
-3.4448160535117056 -235.72843431116925 -267.2883543442795
-3.3779264214046822 -223.85101634628896 -254.4264334971951
-3.311036789297659 -212.42700625220274 -242.02962213445875
-3.2441471571906355 -201.44742565523143 -230.0890708736988
-3.177257525083612 -190.90329618169596 -218.5959303325439
-3.1103678929765888 -180.78563945791723 -207.54135112862258
-3.0434782608695654 -171.08547711021617 -196.91648387956334
-2.976588628762542 -161.7938307649137 -186.7124792029947
-2.9096989966555187 -152.9017220483307 -176.92048771654515
-2.8428093645484953 -144.40017258678807 -167.53166003784332
-2.775919732441472 -136.28020400660677 -158.53714678451766
-2.7090301003344486 -128.5328379341077 -149.92809857419667
-2.642140468227425 -121.14909599561172 -141.69566602450894
-2.575250836120402 -114.1199998174398 -133.83099975308295
-2.5083612040133785 -107.4365710259128 -126.32525037754732
-2.441471571906355 -101.08983124735167 -119.16956851553044
-2.3745819397993317 -95.0708021080773 -112.35510478466091
-2.3076923076923084 -89.37050523441062 -105.87300980256728
-2.240802675585285 -83.97996225267252 -99.71443418687804
-2.1739130434782616 -78.89019478918392 -93.8705285552217
-2.1070234113712374 -74.09222447026566 -88.33244352522675
-2.040133779264214 -69.57707292223878 -83.09132971452183
-1.9732441471571907 -65.33576177142416 -78.13833774073542
-1.9063545150501682 -61.359312644142705 -73.46461822149612
-1.839464882943144 -57.63874716671519 -69.06132177443226
-1.7725752508361214 -54.165086965462756 -64.91959901717256
-1.7056856187290972 -50.92935366670609 -61.030600567345374
-1.6387959866220747 -47.92256889676629 -57.38547704257941
-1.5719063545150505 -45.13575428196412 -53.97537906050302
-1.505016722408028 -42.55993144862061 -50.791457238744904
-1.4381270903010037 -40.18612202305655 -47.82486219493342
-1.3712374581939795 -38.00534763159292 -45.06674454669717
-1.304347826086957 -36.00862990055068 -42.508254911664764
-1.2374581939799327 -34.18699045625064 -40.14054390746458
-1.1705685618729103 -32.5314509250138 -37.95476215172528
-1.103678929765886 -31.033032933160975 -35.94206026207526
-1.0367892976588635 -29.682758107013175 -34.093588856143164
-0.9698996655518393 -28.47164807289122 -32.40049855155742
-0.9030100334448168 -27.3907244571161 -30.853939965946637
-0.8361204013377925 -26.43100888600866 -29.445063716939266
